ID_cattura;DATA;ALBA;sessione;occasione;ID_TRAPPOLA;chip;ricattura;pelo;peso (g);sex;eta;statoripr;NOTE;DOY
20;26/08/2017;A;I (agosto);11;15;NA;N;Fg;28;M;A;NR;;238
21;26/08/2017;A;I (agosto);11;29;NA;N;A/C/Eb;15;M;G;NR;;238
22;26/08/2017;A;I (agosto);11;28;NA;N;crentrob;15;F;G;NR;;238
23;26/08/2017;T;I (agosto);12;32;NA;N;centro basso g;15;F;G;NR;;238
24;26/08/2017;T;I (agosto);12;14;NA;R;Fg;28;M;A;NR;;238
25;26/08/2017;T;I (agosto);12;17;NA;R;A/Bb;23;F;G;NR;;238
26;26/08/2017;T;I (agosto);12;40;NA;R;strisce A/C/E B/D/F;28;F;A;NR;;238
27;27/08/2017;A;I (agosto);13;32;NA;N;centro alto/basso b;15;F;G;NR;;239
28;27/08/2017;A;I (agosto);13;11;NA;R?;D/Fb;27;M;A;NR;;239
29;27/08/2017;A;I (agosto);13;14;NA;R?;buco centro e naso;30;M;A;NR;;239
30;27/08/2017;A;I (agosto);13;23;NA;R;centrog;35;M;A;NR;;239
31;27/08/2017;T;I (agosto);14;31;NA;R;centro basso g;15;F;G;NR;;239
32;27/08/2017;T;I (agosto);14;11;NA;R;buco C (eD);28;M;A;NR;;239
33;27/08/2017;T;I (agosto);14;42;NA;R;C/D g;22;M;A;NR;;239
34;28/08/2017;A;I (agosto);15;47;NA;R;C/D g;24;M;A;NR;;240
35;28/08/2017;A;I (agosto);15;31;NA;N;B/centro b;25;M;A;NR;;240
36;28/08/2017;A;I (agosto);15;42;NA;R;strisce A/C/E B/D/F;29;F;A;NR;;240
37;28/08/2017;A;I (agosto);15;31;NA;R;centro basso g;16;F;G;NR;;240
38;28/08/2017;A;I (agosto);15;32;NA;N;C/Eg;16;M;G;NR;;240
39;28/08/2017;A;I (agosto);15;39;NA;R;strisce A/C/E B/D/F;29;F;A;NR;;240
40;28/08/2017;A;I (agosto);15;14;NA;N;A/B/centro b;31;M;A;NR;;240
41;28/08/2017;T;I (agosto);16;42;NA;R;C/Dg;24;M;A;NR;;240
42;28/08/2017;T;I (agosto);16;43;NA;R;centrog;35;M;A;NR;;240
43;28/08/2017;T;I (agosto);16;13;NA;R;A/B/centro b;29;M;A;NR;;240
44;28/08/2017;T;I (agosto);16;35;NA;R?;A buchi;17;F;G;NR;;240
45;28/08/2017;T;I (agosto);16;34;NA;R;centro basso g;16;F;G;NR;;240
